,,Subject,,,fz098,
157,25.514,Exit,10,DeadRight,Time,
158,25.514,Entry,11,WaitForLickRight,,
159,25.517,Input,6,On1B2,,
160,25.517,Exit,11,WaitForLickRight,6,
161,25.517,Entry,12,HitRight,,
162,25.518,Exit,12,HitRight,Time,
163,25.518,Entry,16,WaterOut,,
164,25.589,Input,38,Off1B2,,
165,25.593,Exit,16,WaterOut,Time,
166,25.593,Entry,17,WaterConsumption,,
167,25.593,Reg,14,CupUp, 1925.000,
168,25.882,Input,6,On1B2,,
169,26.095,Input,38,Off1B2,,
170,27.520,Exit,17,WaterConsumption,Time,
171,27.520,Entry,19,TrialEnd,,
172,27.520,Reg,3,ActionRate,    1.000,
173,27.520,Reg,4,LeftCorrect,    1.000,
174,27.520,Reg,5,RightCorrect,    0.500,
175,27.521,Exit,19,TrialEnd,Time,
176,27.521,Entry,1,Trial,,
177,27.521,Reg,1,Trial,    4.000,
178,27.523,Exit,1,Trial,Time,
179,27.523,Entry,2,ITI,,
180,27.523,Reg,6,ITItime, 3467.895,
181,29.863,Input,6,On1B2,,
182,29.925,Input,38,Off1B2,,
183,30.955,Input,6,On1B2,,
184,30.992,Exit,2,ITI,Time,
185,30.992,Entry,3,Wait,,
186,30.997,Input,38,Off1B2,,
187,31.158,Input,6,On1B2,,
188,31.158,Exit,3,Wait,6,
189,31.158,Entry,18,Punish,,
190,31.220,Input,38,Off1B2,,
191,32.159,Exit,18,Punish,Time,
192,32.159,Entry,3,Wait,,
193,32.322,Input,6,On1B2,,
194,32.322,Exit,3,Wait,6,
195,32.322,Entry,18,Punish,,
196,32.384,Input,38,Off1B2,,
197,32.566,Input,6,On1B2,,
198,32.639,Input,38,Off1B2,,
199,33.145,Input,6,On1B2,,
200,33.239,Input,38,Off1B2,,
201,33.323,Exit,18,Punish,Time,
202,33.323,Entry,3,Wait,,
203,33.824,Exit,3,Wait,Time,
204,33.824,List,,TrialType2,    4.000,
205,33.824,Entry,4,CueLeft,,
206,33.924,Exit,4,CueLeft,Time,
207,33.924,Entry,5,DeadLeft,,
208,34.024,Exit,5,DeadLeft,Time,
209,34.024,Entry,6,WaitForLickLeft,,
210,34.328,Input,5,On1B1,,
211,34.328,Exit,6,WaitForLickLeft,5,
212,34.328,Entry,7,HitLeft,,
213,34.330,Exit,7,HitLeft,Time,
214,34.330,Entry,16,WaterOut,,
215,34.400,Input,37,Off1B1,,
216,34.405,Exit,16,WaterOut,Time,
217,34.405,Entry,17,WaterConsumption,,
218,34.405,Reg,14,CupUp, 1925.000,
219,35.853,Input,6,On1B2,,
220,35.915,Input,38,Off1B2,,
221,36.331,Exit,17,WaterConsumption,Time,
222,36.331,Entry,19,TrialEnd,,
223,36.331,Reg,3,ActionRate,    1.000,
224,36.331,Reg,4,LeftCorrect,    1.000,
225,36.331,Reg,5,RightCorrect,    0.500,
226,36.333,Exit,19,TrialEnd,Time,
227,36.333,Entry,1,Trial,,
228,36.333,Reg,1,Trial,    5.000,
229,36.334,Exit,1,Trial,Time,
230,36.334,Entry,2,ITI,,
231,36.334,Reg,6,ITItime, 3067.683,
232,38.204,Input,6,On1B2,,
233,38.266,Input,38,Off1B2,,
234,38.982,Input,6,On1B2,,
235,39.043,Input,38,Off1B2,,
236,39.106,Input,6,On1B2,,
237,39.167,Input,38,Off1B2,,
238,39.403,Exit,2,ITI,Time,
239,39.403,Entry,3,Wait,,
240,39.536,Input,6,On1B2,,
241,39.536,Exit,3,Wait,6,
242,39.536,Entry,18,Punish,,
243,39.608,Input,38,Off1B2,,
244,39.695,Input,6,On1B2,,
245,39.787,Input,38,Off1B2,,
246,40.500,Input,6,On1B2,,
247,40.536,Exit,18,Punish,Time,
248,40.536,Entry,3,Wait,,
249,40.581,Input,38,Off1B2,,
250,40.672,Input,6,On1B2,,
251,40.672,Exit,3,Wait,6,
252,40.672,Entry,18,Punish,,
253,40.755,Input,38,Off1B2,,
254,41.229,Input,6,On1B2,,
255,41.311,Input,38,Off1B2,,
256,41.672,Exit,18,Punish,Time,
257,41.672,Entry,3,Wait,,
258,41.908,Input,6,On1B2,,
259,41.908,Exit,3,Wait,6,
260,41.908,Entry,18,Punish,,
261,42.000,Input,38,Off1B2,,
262,42.360,Input,6,On1B2,,
263,42.462,Input,38,Off1B2,,
264,42.908,Exit,18,Punish,Time,
265,42.908,Entry,3,Wait,,
266,43.182,Input,6,On1B2,,
