,,Subject,,,fz098,
2860,455.832,Entry,17,WaterConsumption,,
2861,455.832,Reg,14,CupUp, 1925.000,
2862,457.758,Exit,17,WaterConsumption,Time,
2863,457.758,Entry,19,TrialEnd,,
2864,457.758,Reg,3,ActionRate,    1.000,
2865,457.758,Reg,4,LeftCorrect,    1.000,
2866,457.758,Reg,5,RightCorrect,    0.923,
2867,457.759,Exit,19,TrialEnd,Time,
2868,457.759,Entry,1,Trial,,
2869,457.759,Reg,1,Trial,   53.000,
2870,457.760,Exit,1,Trial,Time,
2871,457.760,Entry,2,ITI,,
2872,457.760,Reg,6,ITItime, 3934.550,
2873,460.147,Input,6,On1B2,,
2874,460.211,Input,38,Off1B2,,
2875,460.423,Input,6,On1B2,,
2876,460.496,Input,38,Off1B2,,
2877,461.163,Input,6,On1B2,,
2878,461.226,Input,38,Off1B2,,
2879,461.376,Input,6,On1B2,,
2880,461.427,Input,38,Off1B2,,
2881,461.695,Exit,2,ITI,Time,
2882,461.695,Entry,3,Wait,,
2883,462.195,Exit,3,Wait,Time,
2884,462.195,List,,TrialType10,    9.000,
2885,462.195,Entry,9,CueRight,,
2886,462.295,Exit,9,CueRight,Time,
2887,462.295,Entry,10,DeadRight,,
2888,462.395,Exit,10,DeadRight,Time,
2889,462.395,Entry,11,WaitForLickRight,,
2890,462.503,Input,6,On1B2,,
2891,462.503,Exit,11,WaitForLickRight,6,
2892,462.503,Entry,12,HitRight,,
2893,462.504,Exit,12,HitRight,Time,
2894,462.504,Entry,16,WaterOut,,
2895,462.576,Input,38,Off1B2,,
2896,462.579,Exit,16,WaterOut,Time,
2897,462.579,Entry,17,WaterConsumption,,
2898,462.579,Reg,14,CupUp, 1925.000,
2899,462.689,Input,6,On1B2,,
2900,462.771,Input,38,Off1B2,,
2901,463.008,Input,6,On1B2,,
2902,463.070,Input,38,Off1B2,,
2903,463.543,Input,6,On1B2,,
2904,463.595,Input,38,Off1B2,,
2905,464.506,Exit,17,WaterConsumption,Time,
2906,464.506,Entry,19,TrialEnd,,
2907,464.506,Reg,3,ActionRate,    1.000,
2908,464.506,Reg,4,LeftCorrect,    1.000,
2909,464.506,Reg,5,RightCorrect,    0.926,
2910,464.507,Exit,19,TrialEnd,Time,
2911,464.507,Entry,1,Trial,,
2912,464.507,Reg,1,Trial,   54.000,
2913,464.509,Exit,1,Trial,Time,
2914,464.509,Entry,2,ITI,,
2915,464.509,Reg,6,ITItime, 3136.912,
2916,467.646,Exit,2,ITI,Time,
2917,467.646,Entry,3,Wait,,
2918,467.816,Input,6,On1B2,,
2919,467.816,Exit,3,Wait,6,
2920,467.816,Entry,18,Punish,,
2921,467.869,Input,38,Off1B2,,
2922,468.816,Exit,18,Punish,Time,
2923,468.816,Entry,3,Wait,,
2924,468.944,Input,6,On1B2,,
2925,468.944,Exit,3,Wait,6,
2926,468.944,Entry,18,Punish,,
2927,468.997,Input,38,Off1B2,,
2928,469.307,Input,6,On1B2,,
2929,469.390,Input,38,Off1B2,,
2930,469.944,Exit,18,Punish,Time,
2931,469.944,Entry,3,Wait,,
2932,470.445,Exit,3,Wait,Time,
2933,470.445,List,,TrialType10,    4.000,
2934,470.445,Entry,4,CueLeft,,
2935,470.545,Exit,4,CueLeft,Time,
2936,470.545,Entry,5,DeadLeft,,
2937,470.645,Exit,5,DeadLeft,Time,
2938,470.645,Entry,6,WaitForLickLeft,,
2939,470.887,Input,5,On1B1,,
2940,470.887,Exit,6,WaitForLickLeft,5,
2941,470.887,Entry,7,HitLeft,,
2942,470.888,Exit,7,HitLeft,Time,
2943,470.888,Entry,16,WaterOut,,
2944,470.948,Input,37,Off1B1,,
2945,470.963,Exit,16,WaterOut,Time,
2946,470.963,Entry,17,WaterConsumption,,
2947,470.963,Reg,14,CupUp, 1925.000,
2948,472.889,Exit,17,WaterConsumption,Time,
2949,472.889,Entry,19,TrialEnd,,
2950,472.889,Reg,3,ActionRate,    1.000,
2951,472.889,Reg,4,LeftCorrect,    1.000,
2952,472.889,Reg,5,RightCorrect,    0.926,
2953,472.891,Exit,19,TrialEnd,Time,
2954,472.891,Entry,1,Trial,,
2955,472.891,Reg,1,Trial,   55.000,
2956,472.892,Exit,1,Trial,Time,
2957,472.892,Entry,2,ITI,,
2958,472.892,Reg,6,ITItime, 2349.285,
2959,475.242,Exit,2,ITI,Time,
2960,475.242,Entry,3,Wait,,
2961,475.742,Exit,3,Wait,Time,
2962,475.742,List,,TrialType10,    9.000,
2963,475.742,Entry,9,CueRight,,
2964,475.842,Exit,9,CueRight,Time,
2965,475.842,Entry,10,DeadRight,,
2966,475.942,Exit,10,DeadRight,Time,
2967,475.942,Entry,11,WaitForLickRight,,
2968,476.314,Input,6,On1B2,,
2969,476.314,Exit,11,WaitForLickRight,6,
2970,476.314,Entry,12,HitRight,,
2971,476.315,Exit,12,HitRight,Time,
2972,476.315,Entry,16,WaterOut,,
2973,476.376,Input,38,Off1B2,,
2974,476.390,Exit,16,WaterOut,Time,
2975,476.390,Entry,17,WaterConsumption,,
2976,476.390,Reg,14,CupUp, 1925.000,
2977,478.317,Exit,17,WaterConsumption,Time,
2978,478.317,Entry,19,TrialEnd,,
2979,478.317,Reg,3,ActionRate,    1.000,
2980,478.317,Reg,4,LeftCorrect,    1.000,
2981,478.317,Reg,5,RightCorrect,    0.929,
2982,478.318,Exit,19,TrialEnd,Time,
2983,478.318,Entry,1,Trial,,
2984,478.318,Reg,1,Trial,   56.000,
2985,478.320,Exit,1,Trial,Time,
2986,478.320,Entry,2,ITI,,
2987,478.320,Reg,6,ITItime, 2358.085,
2988,480.680,Exit,2,ITI,Time,
2989,480.680,Entry,3,Wait,,
2990,480.971,Input,6,On1B2,,
2991,480.971,Exit,3,Wait,6,
2992,480.971,Entry,18,Punish,,
2993,481.033,Input,38,Off1B2,,
2994,481.525,Input,6,On1B2,,
2995,481.618,Input,38,Off1B2,,
2996,481.855,Input,6,On1B2,,
2997,481.928,Input,38,Off1B2,,
2998,481.971,Exit,18,Punish,Time,
2999,481.971,Entry,3,Wait,,
3000,482.055,Input,6,On1B2,,
3001,482.055,Exit,3,Wait,6,
3002,482.055,Entry,18,Punish,,
3003,482.126,Input,38,Off1B2,,
3004,482.877,Input,6,On1B2,,
3005,482.949,Input,38,Off1B2,,
3006,483.055,Exit,18,Punish,Time,
3007,483.055,Entry,3,Wait,,
3008,483.555,Exit,3,Wait,Time,
3009,483.555,List,,TrialType10,    9.000,
3010,483.555,Entry,9,CueRight,,
3011,483.655,Exit,9,CueRight,Time,
3012,483.655,Entry,10,DeadRight,,
3013,483.755,Exit,10,DeadRight,Time,
3014,483.755,Entry,11,WaitForLickRight,,
3015,483.759,Input,6,On1B2,,
3016,483.759,Exit,11,WaitForLickRight,6,
3017,483.759,Entry,12,HitRight,,
3018,483.760,Exit,12,HitRight,Time,
3019,483.760,Entry,16,WaterOut,,
3020,483.800,Input,38,Off1B2,,
3021,483.835,Exit,16,WaterOut,Time,
3022,483.835,Entry,17,WaterConsumption,,
3023,483.835,Reg,14,CupUp, 1925.000,
3024,484.325,Input,6,On1B2,,
3025,484.397,Input,38,Off1B2,,
3026,484.467,Input,6,On1B2,,
3027,484.508,Input,38,Off1B2,,
3028,484.633,Input,6,On1B2,,
3029,484.684,Input,38,Off1B2,,
3030,485.761,Exit,17,WaterConsumption,Time,
3031,485.761,Entry,19,TrialEnd,,
3032,485.761,Reg,3,ActionRate,    1.000,
3033,485.761,Reg,4,LeftCorrect,    1.000,
3034,485.761,Reg,5,RightCorrect,    0.931,
3035,485.763,Exit,19,TrialEnd,Time,
3036,485.763,Entry,1,Trial,,
3037,485.763,Reg,1,Trial,   57.000,
3038,485.764,Exit,1,Trial,Time,
3039,485.764,Entry,2,ITI,,
3040,485.764,Reg,6,ITItime, 2551.102,
3041,488.317,Exit,2,ITI,Time,
3042,488.317,Entry,3,Wait,,
3043,488.816,Input,6,On1B2,,
3044,488.816,Exit,3,Wait,6,
3045,488.816,Entry,18,Punish,,
3046,488.887,Input,38,Off1B2,,
3047,489.078,Input,6,On1B2,,
3048,489.151,Input,38,Off1B2,,
3049,489.495,Input,6,On1B2,,
3050,489.567,Input,38,Off1B2,,
3051,489.817,Exit,18,Punish,Time,
3052,489.817,Entry,3,Wait,,
3053,490.318,Exit,3,Wait,Time,
3054,490.318,List,,TrialType10,    4.000,
3055,490.318,Entry,4,CueLeft,,
3056,490.418,Exit,4,CueLeft,Time,
3057,490.418,Entry,5,DeadLeft,,
3058,490.518,Exit,5,DeadLeft,Time,
3059,490.518,Entry,6,WaitForLickLeft,,
3060,490.785,Input,5,On1B1,,
3061,490.785,Exit,6,WaitForLickLeft,5,
3062,490.785,Entry,7,HitLeft,,
3063,490.786,Exit,7,HitLeft,Time,
3064,490.786,Entry,16,WaterOut,,
3065,490.856,Input,37,Off1B1,,
3066,490.861,Exit,16,WaterOut,Time,
3067,490.861,Entry,17,WaterConsumption,,
3068,490.861,Reg,14,CupUp, 1925.000,
3069,491.958,Input,5,On1B1,,
3070,492.020,Input,37,Off1B1,,
3071,492.787,Exit,17,WaterConsumption,Time,
3072,492.787,Entry,19,TrialEnd,,
3073,492.787,Reg,3,ActionRate,    1.000,
3074,492.787,Reg,4,LeftCorrect,    1.000,
3075,492.787,Reg,5,RightCorrect,    0.931,
3076,492.789,Exit,19,TrialEnd,Time,
3077,492.789,Entry,1,Trial,,
3078,492.789,Reg,1,Trial,   58.000,
3079,492.790,Exit,1,Trial,Time,
3080,492.790,Entry,2,ITI,,
3081,492.790,Reg,6,ITItime, 2545.140,
3082,495.099,Input,6,On1B2,,
3083,495.161,Input,38,Off1B2,,
3084,495.336,Exit,2,ITI,Time,
3085,495.336,Entry,3,Wait,,
3086,495.837,Exit,3,Wait,Time,
3087,495.837,List,,TrialType10,    9.000,
3088,495.837,Entry,9,CueRight,,
3089,495.937,Exit,9,CueRight,Time,
3090,495.937,Entry,10,DeadRight,,
3091,496.037,Exit,10,DeadRight,Time,
3092,496.037,Entry,11,WaitForLickRight,,
3093,496.045,Input,6,On1B2,,
3094,496.045,Exit,11,WaitForLickRight,6,
3095,496.045,Entry,12,HitRight,,
3096,496.047,Exit,12,HitRight,Time,
3097,496.047,Entry,16,WaterOut,,
3098,496.097,Input,38,Off1B2,,
3099,496.122,Exit,16,WaterOut,Time,
3100,496.122,Entry,17,WaterConsumption,,
3101,496.122,Reg,14,CupUp, 1925.000,
3102,496.241,Input,6,On1B2,,
3103,496.284,Input,38,Off1B2,,
3104,497.818,Input,5,On1B1,,
3105,497.871,Input,37,Off1B1,,
3106,498.048,Exit,17,WaterConsumption,Time,
3107,498.048,Entry,19,TrialEnd,,
3108,498.048,Reg,3,ActionRate,    1.000,
3109,498.048,Reg,4,LeftCorrect,    1.000,
3110,498.048,Reg,5,RightCorrect,    0.933,
3111,498.050,Exit,19,TrialEnd,Time,
3112,498.050,Entry,1,Trial,,
3113,498.050,Reg,1,Trial,   59.000,
3114,498.051,Exit,1,Trial,Time,
3115,498.051,Entry,2,ITI,,
3116,498.051,Reg,6,ITItime, 3067.702,
3117,500.272,Input,6,On1B2,,
3118,500.324,Input,38,Off1B2,,
3119,500.590,Input,6,On1B2,,
3120,500.653,Input,38,Off1B2,,
3121,501.119,Exit,2,ITI,Time,
3122,501.119,Entry,3,Wait,,
3123,501.479,Input,6,On1B2,,
3124,501.479,Exit,3,Wait,6,
3125,501.479,Entry,18,Punish,,
3126,501.540,Input,38,Off1B2,,
3127,501.699,Input,6,On1B2,,
3128,501.783,Input,38,Off1B2,,
3129,502.312,Input,6,On1B2,,
3130,502.395,Input,38,Off1B2,,
3131,502.472,Input,6,On1B2,,
3132,502.479,Exit,18,Punish,Time,
3133,502.479,Entry,3,Wait,,
3134,502.555,Input,38,Off1B2,,
3135,502.979,Exit,3,Wait,Time,
3136,502.979,List,,TrialType10,    4.000,
3137,502.979,Entry,4,CueLeft,,
3138,503.079,Exit,4,CueLeft,Time,
3139,503.079,Entry,5,DeadLeft,,
3140,503.179,Exit,5,DeadLeft,Time,
3141,503.179,Entry,6,WaitForLickLeft,,
3142,503.610,Input,5,On1B1,,
3143,503.610,Exit,6,WaitForLickLeft,5,
3144,503.610,Entry,7,HitLeft,,
3145,503.611,Exit,7,HitLeft,Time,
3146,503.611,Entry,16,WaterOut,,
3147,503.687,Exit,16,WaterOut,Time,
3148,503.687,Entry,17,WaterConsumption,,
3149,503.687,Reg,14,CupUp, 1925.000,
3150,503.692,Input,37,Off1B1,,
3151,504.878,Input,5,On1B1,,
3152,504.940,Input,37,Off1B1,,
3153,505.613,Exit,17,WaterConsumption,Time,
3154,505.613,Entry,19,TrialEnd,,
3155,505.613,Reg,3,ActionRate,    1.000,
3156,505.613,Reg,4,LeftCorrect,    1.000,
3157,505.613,Reg,5,RightCorrect,    0.933,
3158,505.614,Exit,19,TrialEnd,Time,
3159,505.614,Entry,1,Trial,,
3160,505.614,Reg,1,Trial,   60.000,
3161,505.616,Exit,1,Trial,Time,
3162,505.616,Entry,2,ITI,,
3163,505.616,Reg,6,ITItime, 3150.433,
3164,508.013,Input,6,On1B2,,
3165,508.065,Input,38,Off1B2,,
3166,508.767,Exit,2,ITI,Time,
3167,508.767,Entry,3,Wait,,
3168,509.066,Input,6,On1B2,,
3169,509.066,Exit,3,Wait,6,
3170,509.066,Entry,18,Punish,,
3171,509.107,Input,38,Off1B2,,
3172,509.204,Input,6,On1B2,,
3173,509.267,Input,38,Off1B2,,
3174,510.067,Exit,18,Punish,Time,
3175,510.067,Entry,3,Wait,,
3176,510.130,Input,6,On1B2,,
3177,510.130,Exit,3,Wait,6,
3178,510.130,Entry,18,Punish,,
3179,510.182,Input,38,Off1B2,,
3180,510.284,Input,6,On1B2,,
3181,510.356,Input,38,Off1B2,,
3182,511.130,Exit,18,Punish,Time,
3183,511.130,Entry,3,Wait,,
3184,511.194,Input,6,On1B2,,
3185,511.194,Exit,3,Wait,6,
3186,511.194,Entry,18,Punish,,
3187,511.255,Input,38,Off1B2,,
3188,511.442,Input,6,On1B2,,
3189,511.505,Input,38,Off1B2,,
3190,512.194,Exit,18,Punish,Time,
3191,512.194,Entry,3,Wait,,
3192,512.335,Input,6,On1B2,,
3193,512.335,Exit,3,Wait,6,
3194,512.335,Entry,18,Punish,,
3195,512.396,Input,38,Off1B2,,
3196,513.256,Input,6,On1B2,,
3197,513.318,Input,38,Off1B2,,
3198,513.336,Exit,18,Punish,Time,
3199,513.336,Entry,3,Wait,,
3200,513.449,Input,6,On1B2,,
3201,513.449,Exit,3,Wait,6,
3202,513.449,Entry,18,Punish,,
3203,513.523,Input,38,Off1B2,,
3204,514.406,Input,6,On1B2,,
3205,514.450,Exit,18,Punish,Time,
3206,514.450,Entry,3,Wait,,
3207,514.459,Input,38,Off1B2,,
3208,514.557,Input,6,On1B2,,
3209,514.557,Exit,3,Wait,6,
3210,514.557,Entry,18,Punish,,
3211,514.620,Input,38,Off1B2,,
3212,514.747,Input,6,On1B2,,
3213,514.819,Input,38,Off1B2,,
3214,515.398,Input,6,On1B2,,
3215,515.470,Input,38,Off1B2,,
3216,515.557,Exit,18,Punish,Time,
3217,515.557,Entry,3,Wait,,
3218,516.057,Exit,3,Wait,Time,
3219,516.057,List,,TrialType10,    4.000,
3220,516.057,Entry,4,CueLeft,,
3221,516.157,Exit,4,CueLeft,Time,
3222,516.157,Entry,5,DeadLeft,,
3223,516.258,Exit,5,DeadLeft,Time,
3224,516.258,Entry,6,WaitForLickLeft,,
3225,516.773,Input,5,On1B1,,
3226,516.773,Exit,6,WaitForLickLeft,5,
3227,516.773,Entry,7,HitLeft,,
3228,516.774,Exit,7,HitLeft,Time,
3229,516.774,Entry,16,WaterOut,,
3230,516.846,Input,37,Off1B1,,
3231,516.850,Exit,16,WaterOut,Time,
3232,516.850,Entry,17,WaterConsumption,,
3233,516.850,Reg,14,CupUp, 1925.000,
3234,517.397,Input,6,On1B2,,
3235,517.460,Input,38,Off1B2,,
3236,517.546,Input,6,On1B2,,
3237,517.579,Input,38,Off1B2,,
3238,517.648,Input,6,On1B2,,
3239,517.710,Input,38,Off1B2,,
3240,518.776,Exit,17,WaterConsumption,Time,
3241,518.776,Entry,19,TrialEnd,,
3242,518.776,Reg,3,ActionRate,    1.000,
3243,518.776,Reg,4,LeftCorrect,    1.000,
3244,518.776,Reg,5,RightCorrect,    0.933,
3245,518.777,Exit,19,TrialEnd,Time,
3246,518.777,Entry,1,Trial,,
3247,518.777,Reg,1,Trial,   61.000,
3248,518.778,Exit,1,Trial,Time,
3249,518.778,Entry,2,ITI,,
3250,518.778,Reg,6,ITItime, 2779.084,
3251,521.559,Exit,2,ITI,Time,
3252,521.559,Entry,3,Wait,,
3253,522.059,Exit,3,Wait,Time,
3254,522.059,List,,TrialType10,    9.000,
3255,522.059,Entry,9,CueRight,,
3256,522.159,Exit,9,CueRight,Time,
3257,522.159,Entry,10,DeadRight,,
3258,522.259,Exit,10,DeadRight,Time,
3259,522.259,Entry,11,WaitForLickRight,,
3260,522.300,Input,6,On1B2,,
3261,522.300,Exit,11,WaitForLickRight,6,
3262,522.300,Entry,12,HitRight,,
3263,522.302,Exit,12,HitRight,Time,
3264,522.302,Entry,16,WaterOut,,
3265,522.372,Input,38,Off1B2,,
3266,522.377,Exit,16,WaterOut,Time,
3267,522.377,Entry,17,WaterConsumption,,
3268,522.377,Reg,14,CupUp, 1925.000,
3269,522.485,Input,6,On1B2,,
3270,522.568,Input,38,Off1B2,,
3271,522.790,Input,6,On1B2,,
3272,522.832,Input,38,Off1B2,,
3273,523.057,Input,6,On1B2,,
3274,523.098,Input,38,Off1B2,,
3275,523.335,Input,6,On1B2,,
3276,523.387,Input,38,Off1B2,,
3277,524.303,Exit,17,WaterConsumption,Time,
3278,524.303,Entry,19,TrialEnd,,
3279,524.303,Reg,3,ActionRate,    1.000,
3280,524.303,Reg,4,LeftCorrect,    1.000,
3281,524.303,Reg,5,RightCorrect,    0.935,
3282,524.304,Exit,19,TrialEnd,Time,
3283,524.304,Entry,1,Trial,,
3284,524.304,Reg,1,Trial,   62.000,
3285,524.305,Exit,1,Trial,Time,
3286,524.305,Entry,2,ITI,,
3287,524.305,Reg,6,ITItime, 2370.365,
3288,526.676,Exit,2,ITI,Time,
3289,526.676,Entry,3,Wait,,
3290,527.176,Exit,3,Wait,Time,
3291,527.176,List,,TrialType10,    9.000,
3292,527.176,Entry,9,CueRight,,
3293,527.276,Exit,9,CueRight,Time,
3294,527.276,Entry,10,DeadRight,,
3295,527.376,Exit,10,DeadRight,Time,
3296,527.376,Entry,11,WaitForLickRight,,
3297,527.393,Input,6,On1B2,,
3298,527.393,Exit,11,WaitForLickRight,6,
3299,527.393,Entry,12,HitRight,,
3300,527.395,Exit,12,HitRight,Time,
3301,527.395,Entry,16,WaterOut,,
3302,527.456,Input,38,Off1B2,,
3303,527.470,Exit,16,WaterOut,Time,
3304,527.470,Entry,17,WaterConsumption,,
3305,527.470,Reg,14,CupUp, 1925.000,
3306,528.304,Input,6,On1B2,,
3307,528.356,Input,38,Off1B2,,
3308,528.468,Input,5,On1B1,,
3309,528.531,Input,37,Off1B1,,
3310,529.396,Exit,17,WaterConsumption,Time,
3311,529.396,Entry,19,TrialEnd,,
3312,529.396,Reg,3,ActionRate,    1.000,
3313,529.396,Reg,4,LeftCorrect,    1.000,
3314,529.396,Reg,5,RightCorrect,    0.937,
3315,529.398,Exit,19,TrialEnd,Time,
3316,529.398,Entry,1,Trial,,
3317,529.398,Reg,1,Trial,   63.000,
3318,529.399,Exit,1,Trial,Time,
3319,529.399,Entry,2,ITI,,
3320,529.399,Reg,6,ITItime, 2838.890,
3321,531.896,Input,6,On1B2,,
3322,531.959,Input,38,Off1B2,,
3323,532.238,Exit,2,ITI,Time,
3324,532.238,Entry,3,Wait,,
3325,532.321,Input,6,On1B2,,
3326,532.321,Exit,3,Wait,6,
3327,532.321,Entry,18,Punish,,
3328,532.383,Input,38,Off1B2,,
3329,532.689,Input,6,On1B2,,
3330,532.731,Input,38,Off1B2,,
3331,533.023,Input,6,On1B2,,
3332,533.094,Input,38,Off1B2,,
3333,533.247,Input,6,On1B2,,
3334,533.320,Input,38,Off1B2,,
3335,533.321,Exit,18,Punish,Time,
3336,533.321,Entry,3,Wait,,
3337,533.808,Input,6,On1B2,,
3338,533.808,Exit,3,Wait,6,
3339,533.808,Entry,18,Punish,,
3340,533.880,Input,38,Off1B2,,
3341,534.553,Input,6,On1B2,,
3342,534.625,Input,38,Off1B2,,
3343,534.763,Input,6,On1B2,,
3344,534.808,Exit,18,Punish,Time,
3345,534.808,Entry,3,Wait,,
3346,534.845,Input,38,Off1B2,,
3347,535.250,Input,6,On1B2,,
3348,535.250,Exit,3,Wait,6,
3349,535.250,Entry,18,Punish,,
3350,535.332,Input,38,Off1B2,,
3351,535.780,Input,6,On1B2,,
3352,535.854,Input,38,Off1B2,,
3353,536.251,Exit,18,Punish,Time,
3354,536.251,Entry,3,Wait,,
3355,536.751,Exit,3,Wait,Time,
3356,536.751,List,,TrialType10,    4.000,
3357,536.751,Entry,4,CueLeft,,
3358,536.851,Exit,4,CueLeft,Time,
3359,536.851,Entry,5,DeadLeft,,
3360,536.951,Exit,5,DeadLeft,Time,
3361,536.951,Entry,6,WaitForLickLeft,,
3362,537.326,Input,5,On1B1,,
3363,537.326,Exit,6,WaitForLickLeft,5,
3364,537.326,Entry,7,HitLeft,,
3365,537.328,Exit,7,HitLeft,Time,
3366,537.328,Entry,16,WaterOut,,
3367,537.389,Input,37,Off1B1,,
3368,537.403,Exit,16,WaterOut,Time,
3369,537.403,Entry,17,WaterConsumption,,
3370,537.403,Reg,14,CupUp, 1925.000,
3371,538.485,Input,5,On1B1,,
3372,538.547,Input,37,Off1B1,,
3373,539.115,Input,5,On1B1,,
3374,539.167,Input,37,Off1B1,,
3375,539.329,Exit,17,WaterConsumption,Time,
3376,539.329,Entry,19,TrialEnd,,
3377,539.329,Reg,3,ActionRate,    1.000,
3378,539.329,Reg,4,LeftCorrect,    1.000,
3379,539.329,Reg,5,RightCorrect,    0.937,
3380,539.331,Exit,19,TrialEnd,Time,
3381,539.331,Entry,1,Trial,,
3382,539.331,Reg,1,Trial,   64.000,
3383,539.332,Exit,1,Trial,Time,
3384,539.332,Entry,2,ITI,,
3385,539.332,Reg,6,ITItime, 2688.534,
3386,542.021,Exit,2,ITI,Time,
3387,542.021,Entry,3,Wait,,
3388,542.521,Exit,3,Wait,Time,
3389,542.521,List,,TrialType10,    4.000,
3390,542.521,Entry,4,CueLeft,,
3391,542.621,Exit,4,CueLeft,Time,
3392,542.621,Entry,5,DeadLeft,,
3393,542.721,Exit,5,DeadLeft,Time,
3394,542.721,Entry,6,WaitForLickLeft,,
3395,542.825,Input,5,On1B1,,
3396,542.825,Exit,6,WaitForLickLeft,5,
3397,542.825,Entry,7,HitLeft,,
3398,542.826,Exit,7,HitLeft,Time,
3399,542.826,Entry,16,WaterOut,,
3400,542.865,Input,37,Off1B1,,
3401,542.901,Exit,16,WaterOut,Time,
3402,542.901,Entry,17,WaterConsumption,,
3403,542.901,Reg,14,CupUp, 1925.000,
3404,543.266,Input,6,On1B2,,
3405,543.307,Input,38,Off1B2,,
3406,543.954,Input,5,On1B1,,
3407,544.007,Input,37,Off1B1,,
3408,544.230,Input,6,On1B2,,
3409,544.273,Input,38,Off1B2,,
3410,544.533,Input,5,On1B1,,
3411,544.575,Input,37,Off1B1,,
3412,544.828,Exit,17,WaterConsumption,Time,
3413,544.828,Entry,19,TrialEnd,,
3414,544.828,Reg,3,ActionRate,    1.000,
3415,544.828,Reg,4,LeftCorrect,    1.000,
3416,544.828,Reg,5,RightCorrect,    0.937,
3417,544.829,Exit,19,TrialEnd,Time,
3418,544.829,Entry,1,Trial,,
3419,544.829,Reg,1,Trial,   65.000,
3420,544.831,Exit,1,Trial,Time,
3421,544.831,Entry,2,ITI,,
3422,544.831,Reg,6,ITItime, 3528.962,
3423,547.105,Input,6,On1B2,,
3424,547.177,Input,38,Off1B2,,
3425,547.304,Input,6,On1B2,,
3426,547.365,Input,38,Off1B2,,
3427,548.136,Input,6,On1B2,,
3428,548.178,Input,38,Off1B2,,
3429,548.322,Input,6,On1B2,,
3430,548.360,Exit,2,ITI,Time,
3431,548.360,Entry,3,Wait,,
3432,548.374,Input,38,Off1B2,,
3433,548.655,Input,6,On1B2,,
3434,548.655,Exit,3,Wait,6,
3435,548.655,Entry,18,Punish,,
3436,548.727,Input,38,Off1B2,,
3437,549.265,Input,6,On1B2,,
3438,549.337,Input,38,Off1B2,,
3439,549.655,Exit,18,Punish,Time,
3440,549.655,Entry,3,Wait,,
3441,549.962,Input,6,On1B2,,
3442,549.962,Exit,3,Wait,6,
3443,549.962,Entry,18,Punish,,
3444,550.035,Input,38,Off1B2,,
3445,550.627,Input,6,On1B2,,
3446,550.698,Input,38,Off1B2,,
3447,550.953,Input,6,On1B2,,
3448,550.962,Exit,18,Punish,Time,
3449,550.962,Entry,3,Wait,,
3450,551.025,Input,38,Off1B2,,
3451,551.462,Exit,3,Wait,Time,
3452,551.462,List,,TrialType10,    9.000,
3453,551.462,Entry,9,CueRight,,
3454,551.562,Exit,9,CueRight,Time,
3455,551.562,Entry,10,DeadRight,,
3456,551.662,Exit,10,DeadRight,Time,
3457,551.662,Entry,11,WaitForLickRight,,
3458,551.782,Input,6,On1B2,,
3459,551.782,Exit,11,WaitForLickRight,6,
3460,551.782,Entry,12,HitRight,,
3461,551.784,Exit,12,HitRight,Time,
3462,551.784,Entry,16,WaterOut,,
3463,551.845,Input,38,Off1B2,,
3464,551.860,Exit,16,WaterOut,Time,
3465,551.860,Entry,17,WaterConsumption,,
3466,551.860,Reg,14,CupUp, 1925.000,
3467,553.109,Input,6,On1B2,,
3468,553.161,Input,38,Off1B2,,
3469,553.786,Exit,17,WaterConsumption,Time,
3470,553.786,Entry,19,TrialEnd,,
3471,553.786,Reg,3,ActionRate,    1.000,
3472,553.786,Reg,4,LeftCorrect,    1.000,
3473,553.786,Reg,5,RightCorrect,    0.939,
3474,553.788,Exit,19,TrialEnd,Time,
3475,553.788,Entry,1,Trial,,
3476,553.788,Reg,1,Trial,   66.000,
3477,553.789,Exit,1,Trial,Time,
3478,553.789,Entry,2,ITI,,
3479,553.789,Reg,6,ITItime, 2466.248,
3480,556.256,Exit,2,ITI,Time,
3481,556.256,Entry,3,Wait,,
3482,556.756,Exit,3,Wait,Time,
3483,556.756,List,,TrialType10,    9.000,
3484,556.756,Entry,9,CueRight,,
3485,556.856,Exit,9,CueRight,Time,
3486,556.856,Entry,10,DeadRight,,
3487,556.956,Exit,10,DeadRight,Time,
3488,556.956,Entry,11,WaitForLickRight,,
3489,557.112,Input,6,On1B2,,
3490,557.112,Exit,11,WaitForLickRight,6,
3491,557.112,Entry,12,HitRight,,
3492,557.114,Exit,12,HitRight,Time,
3493,557.114,Entry,16,WaterOut,,
3494,557.164,Input,38,Off1B2,,
3495,557.189,Exit,16,WaterOut,Time,
3496,557.189,Entry,17,WaterConsumption,,
3497,557.189,Reg,14,CupUp, 1925.000,
3498,557.436,Input,6,On1B2,,
3499,557.498,Input,38,Off1B2,,
3500,559.115,Exit,17,WaterConsumption,Time,
3501,559.115,Entry,19,TrialEnd,,
3502,559.115,Reg,3,ActionRate,    1.000,
3503,559.115,Reg,4,LeftCorrect,    1.000,
3504,559.115,Reg,5,RightCorrect,    0.941,
3505,559.117,Exit,19,TrialEnd,Time,
3506,559.117,Entry,1,Trial,,
3507,559.117,Reg,1,Trial,   67.000,
3508,559.118,Exit,1,Trial,Time,
3509,559.118,Entry,2,ITI,,
3510,559.118,Reg,6,ITItime, 2454.403,
3511,559.175,Input,6,On1B2,,
